Article_headline,Article_link
A German ISP tampered with their DNS – specifically to sabotage my website,https://lina.sh/blog/telefonica-sabotages-me
Turning Claude Code into My Best Design Partner,https://betweentheprompts.com/design-partner/
Writing with LLM is not a shame,https://reflexions.florianernotte.be/post/ai-transparency/
How to build a coding agent,https://ghuntley.com/agent/
Seed: Interactive software environment based on Common Lisp,https://github.com/phantomics/seed
Wildthing – A model trained on role-reversed ChatGPT conversations,https://youaretheassistantnow.com/
Valve Software handbook for new employees [pdf] (2012),https://cdn.akamai.steamstatic.com/apps/valve/Valve_NewEmployeeHandbook.pdf
Setting serial baud rate on ESP-IDF does nothing,https://atomic14.substack.com/p/this-number-does-nothing
The oldest unopened bottle of wine in the world,https://www.openculture.com/2025/08/the-oldest-unopened-bottle-of-wine-in-the-world.html
Equal Earth – Political Wall Map (2018),https://equal-earth.com/index.html
Rolling the dice with CSS random(),https://webkit.org/blog/17285/rolling-the-dice-with-css-random/
Line scan camera image processing for train photography,https://daniel.lawrence.lu/blog/y2025m09d21/
The cost of interrupted work (2023),https://blog.oberien.de/2023/11/05/23-minutes-15-seconds.html
ThinkMesh: A Python lib for parallel thinking in LLMs,https://github.com/martianlantern/ThinkMesh
Programming People (2016),https://leftoversalad.com/c/015_programmingpeople/
How can AI ID a cat?,https://www.quantamagazine.org/how-can-ai-id-a-cat-an-illustrated-guide-20250430/
"Go-away – Customizable, conditional challenges to incoming requests",https://git.gammaspectra.live/git/go-away/wiki/Challenges
How to Fix Your Context,https://www.dbreunig.com/2025/06/26/how-to-fix-your-context.html
A 2k-year-old sun hat worn by a Roman soldier in Egypt,https://www.smithsonianmag.com/smart-news/a-2000-year-old-sun-hat-worn-by-a-roman-soldier-in-egypt-goes-on-view-after-a-century-in-storage-180987192/
Show HN: Port Kill – A lightweight macOS status bar development port monitor,https://github.com/kagehq/port-kill
Physics of badminton's new killer spin serve,https://arstechnica.com/science/2025/08/physics-of-badmintons-new-killer-spin-serve/
A Clash Course in Solving Sudoku (Functional Pearl) [pdf],https://unsafeperform.io/papers/2025-hs-clash-sudoku/2025-hs-clash-sudoku.pdf
What makes Claude Code so damn good,https://minusx.ai/blog/decoding-claude-code/
US halts work on almost finished wind farm because national security,https://www.npr.org/2025/08/23/nx-s1-5513919/trump-stops-offshore-wind-renewable-energy
Marshal madness: A brief history of Ruby deserialization exploits,https://blog.trailofbits.com/2025/08/20/marshal-madness-a-brief-history-of-ruby-deserialization-exploits/
Why was Apache Kafka created?,https://bigdata.2minutestreaming.com/p/why-was-apache-kafka-created
RFC 9839 and Bad Unicode,https://www.tbray.org/ongoing/When/202x/2025/08/14/RFC9839
Texas Instruments’ new plants where Apple will make iPhone chips,https://www.cnbc.com/2025/08/22/apple-will-make-chips-at-texas-instruments-60-billion-us-project.html
Evaluating LLMs for my personal use case,https://darkcoding.net/software/personal-ai-evals-aug-2025/
Agentic Browser Security: Indirect Prompt Injection in Perplexity Comet,https://brave.com/blog/comet-prompt-injection/
